Trail,Status,Difficulty
Abenaki Trail,false,Easy
Bear Run,false,Easy
Bull Run,false,Easy
Cobrass Lane,false,Easy
Deer Run,false,Easy
Lower Bently,false,Easy
Lower Crossover,false,Easy
Lower Fanny Hill,false,Easy
Lower Foxy,false,Easy
Lower Turnpike,false,Easy
Lower Villager,false,Easy
Lower Wilderness,false,Easy
Mighty Mite,true,Groomed
Primer Loop,false,Easy
Sherman's Pass,true,Easy
Snowflake Bentley,false,Easy
Spillway Exit,false,Easy
Sprig O' Pine,false,Easy
Spur,false,Easy
Swing,false,Easy
Timberline Lane,false,Easy
Timberline Run,false,Easy
Upper Villager,false,Easy
Work Road,false,Easy
Alta Vista,false,Intermediate
Beech Seal,true,Intermediate
Cobrass,false,Intermediate
Cobrass Run,false,Intermediate
Coyote,false,Intermediate
Deer Path,false,Intermediate
Enchanted Forest,false,Intermediate
Fanny Hill,false,Intermediate
Five Corners,false,Intermediate
Foxy,false,Intermediate
Glades,false,Intermediate
Hard Luck Lane,false,Intermediate
Lower Brandywine,false,Intermediate
Lower Tattle Tale,false,Intermediate
Moose Run,false,Intermediate
Mousehole,false,Intermediate
Old Turnpike,false,Intermediate
Peggy Dow's,false,Intermediate
Showtime,false,Intermediate
Spillway Lane,false,Intermediate
Sure Shot,false,Intermediate
TFR,false,Intermediate
Twice as Nice,false,Intermediate
Wilderness Liftline,false,Intermediate
Wood's Hole,false,Intermediate
Bolton Outlaw,false,Advanced
Brandywine,false,Advanced
Cougar,false,Advanced
Hard Luck,false,Advanced
Intro,false,Advanced
Schuss,false,Advanced
Show Off Lower,false,Advanced
Show Off Upper,false,Advanced
Spellbinder,false,Advanced
Spillway,false,Advanced
Upper Crossover,false,Advanced
Upper Fanny Hill,false,Advanced
Upper Tattle Tale,false,Advanced
Vermont 200,false,Advanced
Vista Glades,false,Advanced
Adam's Solitude,false,Expert
Lost Boyz,false,Expert
Preacher,false,Expert
TNT,false,Expert
Hide Away,false,Terrain Park
Moonlight Park,false,Terrain Park
Valley Road,false,Terrain Park
