<<<<<<< HEAD
Name,Rating,Mountain,TrailName
pus,1,JayPeak,"Chalet Meadow"
a,1,JayPeak,"Chalet Meadow"
beep,1,JayPeak,"Chalet Meadow"
test,1.7,JayPeak,"Cat Walk"
tester,3.1,JayPeak,"Progression Terrain"
hello,0.2,JayPeak,Subway
Zach,5,JayPeak,"Kitz Woods"
a,1,JayPeak,"Chalet Meadow"
test,3.1,JayPeak,"Cat Walk"
ballsack,5,JayPeak,"Alligator Alley"
hi,2.7,JayPeak,"The Flash"
a,2.3,JayPeak,"Heaven's Road"
test,1,JayPeak,"Chalet Meadow"
tets,1,JayPeak,"Heaven's Road"
lit,1,JayPeak,"Chalet Meadow"
=======
Name,Rating,Mountain,TrailNamezach,5,JayPeak,"Black Snake"
>>>>>>> 493262a5c71a17afab83f99b205dd5e2271c9d81
