Trail,Status,Difficulty
Curley's Cutback,false,Easy
Dixie's Knoll,false,Easy
Evaporator,false,Intermediate
Garden Path,false,Easy
Hibernator,false,Easy
Howie's Wanderer,false,Easy
Log Jam,false,Easy
Lower Morse Liftline,false,Easy
Magic Learning Trail,false,Easy
Midway,false,Easy
Meadowlark,false,Easy
Sam's Run,false,Easy
Snow Snake,false,Intermediate
Timberrr!,false,Easy
Upper Morse Liftline,false,Advanced
Burton Riglet Park,false,Terrain Park
Log Jam Terrain Park,false,Terrain Park
Hangman's,false,Intermediate
Birch Run,false,Intermediate
Black Bear,false,Advanced
Black Snake,false,Intermediate
Bootlegger,false,Advanced
Chute,false,Advanced
Crossover,false,Intermediate
Deer Run Glades,false,Advanced
Full Nelson,false,Advanced
Hangman's Drop,false,Advanced
Harvey's Hideaway,false,Intermediate
Highlander Glades,false,Advanced
Jolly Rodger,false,Intermediate
Lower Exhibition,Making Snow,Intermediate
Lower Pipeline,false,Intermediate
Lower Rumrunner,false,Intermediate
Pipeline Escape,false,Advanced
Pirate's Plank,false,Advanced
Poacher's Woods,false,Intermediate
Powder Keg,false,Advanced
Practice Slope,false,Intermediate
Sherwood Forest,false,Intermediate
Smugglers' Alley,Making Snow,Advanced
Snake Bite,false,Advanced
Thomke's,false,Intermediate
Thomke's Express,false,Intermediate
Treasure Run,Making Snow,Making Snow
Upper Exhibition,false,Advanced
Upper Pipeline,false,Advanced
Upper Rumrunner,false,Making Snow
Birch Run Terrain Park,false,Terrain Park
The Zone Terrain Park,false,Terrain Park
Lower Chilcoot,false,Intermediate
Bermuda,false,Intermediate
Black Hole,false,Extreme Expert
Catwalk,false,Intermediate
Dan's Ford,false,Intermediate
Doc Dempsey's Glades,false,Advanced
Father Bob's,false,Intermediate
Freefall,false,Expert
Gary B's NW Passage,false,Advanced
Goat Path,false,Intermediate
Knight's Revenge,false,Intermediate
Lower Catwalk,false,Intermediate
Lower Drifter,false,Intermediate
Lower F.I.S.,false,Intermediate
Lower Liftline,false,Intermediate
McPherson's,false,Intermediate
Moonshiner's Glades,false,Intermediate
Mulcahy's Link,false,Intermediate
Norwegian Woods,false,Intermediate
Playground,false,Intermediate
Red Fox Glades,false,Intermediate
Robin's Run,false,Expert
Ruthie's,false,Intermediate
Shakedown,false,Advanced
The Shire,false,Intermediate
Shuttle,false,Advanced
Three Mountain Glades,false,Intermediate
Upper Chilcoot,false,Intermediate
Upper Drifter,false,Intermediate
Upper F.I.S.,false,Advanced
Upper Liftline,false,Expert
Waterfall,false,Intermediate
Knight's Revenge Gladed Park,false,Intermediate
